Stereorhachis_dominans	(302Â :293.5)												
Archaeothyris_florensis	(309:303.7)												
Ophiacodon_uniformis	(296:290.5)	(292.5:291)	(291:288.5)	(291:287.5)	(291:287.5)	(291:287.5)	(287.5:286.5)	(287.5:286.5)	(286.5:283)	(283.3:279)	(279.0:277)		
Ophiacodon_mirus	(303.4:298.9)	(290.3:288)	(290.3:288)	(290.3:288)	(290.3:288)	(290.3:288)	(290.3:288)	(290.3:288)					
Ophiacodon_navajovicus	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(302:295)	(302:295)						
Ophiacodon_hilli	(293.5:290.5)												
Ophiacodon_retroversus	(295.5:291)	(292.5:291)	(292.5:291)	(291:288.5)	(291:287.5)	(291:287.5)	(291:287.5)	(287.5:286.5)	(287.5:286.5)	(287.5:286.5)	(287.5:286.5)	(279.0:277)	
Ophiacodon_major	(292.5:291)	(287.5:286.5)	(284:283)	(284:283)	(286.5:283)	(286.5:283)	(279.0:277)						
Echinerpeton_intermedium	(309:303.7)												
Varanosaurus_acutirostris	(283:280)	(283:280)	(293.5:291)	(288.5:286.5)									
Milosaurus_mccordi	(303.4:298.9)												
Stereophallodon_ciscoensis	(297.5:295.5)												
Baldwinonus_trux	(303.7:298.9)												
Ianthasaurus_hardestii	(305:303.4)												
Glaucosaurus_megalops	(286.5:283)												
Gordodon_kraineri	(301.5:295)												
Lupeosaurus_kayi	(295.5:292.5)	(291:287.5)											
Edaphosaurus_novomexicanus	(303.7:298.9)	(301.5:295)	(298.9:293.5)	(298.9:293.5)									
Edaphosaurus_colohistion	(303.5:302)	(303.5:302)											
Edaphosaurus_boanerges	(299:298.0)	(299:298.0)	(298.0:297.0)	(298.0:297.0)	(298.0:297.0)	(298.0:297.0)	(295.5:291)	(293.5:291)	(293.5:286)	(291:288.5)	(288.5:286.5)		
Edaphosaurus_pogonias	(283:280)	(283:280)	(279.0:277)										
Edaphosaurus_cruciger	(297.0:293.5)	(297.0:293.5)	(297.0:293.5)	(297.0:293.5)	(284:283.0)	(279.0:277)							
Haptodus_garnettensis	(305:303.4)												
Haptodus_grandis	(299:295)												
Haptodus_baylei	(289:296.5)												
Pantelosaurus_saxonicus	(299:296)												
Cutleria_wilmarthi	(299:290)												
Ianthodon_schultzei	(305:303.4)												
Secodontosaurus_obtusidens	(291:287.5)	(291:287.5)	(291:287.5)	(291:287.5)	(287.5:286.5)	(287.5:286.5)	(287.5:286.5)	(286.5:283)	(283:280)				
Cryptovenator_hirschbergeri	(302:297.5)												
Sphenacodon_ferox	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(303.7:298.9)	(301.5:295)	(300:287.0)	(298.9:293.5)	(295:287.0)	(295:287.0)	
Sphenacodon_ferocior	(300:298.9)	(300:287.0)	(300:287.0)	(300:287.0)	(295:287.0)	(295:286.5)							
Ctenospondylus_casei	(295:286.5)	(287.5:286.5)											
Ctenospondylus_ninevehensis	(297.0:293.5)												
Ctenorhachis_jacksoni	(287.5:286.5)												
Dimetrodon_milleri	(292.5:291)	(291:287.5)											
Dimetrodon_limbatus	(300:287.0)	(295.5:291)	(293.5:286)	(292.5:291)	(291:287.5)	(286.5:284)	(286.5:283)	(283:280.0)	(283.3:279)	(279.0:277)	(279.0:277)		
Dimetrodon_grandis	(283:280)	(283:280)	(279.0:277)										
Dimetrodon_borealis	(288:283.3)												
Dimetrodon_natalis	(291:288.5)	(291:287.5)	(286.5:284)	(283:280)									
Dimetrodon_booneorum	(291:287.5)	(287.5:286.5)											
Dimetrodon_dollovianus	(283:280)	(279.0:277)											
Dimetrodon_giganhomogenes	(283:280)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(280:278)	(279.0:277)	(278:275)
Dimetrodon_macrospondylus	(287.5:286.5)	(279.0:277)											
Dimetrodon_loomisi	(283:280)	(283:280)	(279:275.0)										
Dimetrodon_angelensis	(275:273.5)	(275:273.5)											
Dimetrodon_occidentalis	(300:287.0)	(300:287.0)											
Dimetrodon_teutonis	(293:290.0)	(293:290.0)											
Tetraceratops_insignis	(283:280)												
Other_therapsids	S273												
Mesosaurus_tenuidens	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)				
Stereosternum_tumidum	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)									
Brazilosaurus_sanpauloensis	(295:283.5)	(295:283.5)	(295:283.5)	(295:283.5)									
Milleretta_rubidgei	(268.8:257)	S268.8											
Broomia_perplexa	(265.1:259.8)	S268.8											
Millerosaurus_nuffieldi	(268.8:257)	S268.8											
Milleropsis_pricei	(254.2:252.2)	S268.8											
Millerosaurus_ornatus	(254.2:252.2)	S268.8											
Eunotosaurus_africanus	(265.1:259.8)	S268.8											
Acleistorhinus_pterioticus	(275:272.3)												
Eudibamus_cursoris	(287:280)												
Bolosaurus_striatus	(287:283)												
Bolosaurus_grandis	(275:274)												
Belebey_chengi	(272:260)	S268.8											
Belebey_maximi	(270:268.8)												
Belebey_vergrandis	(270:268.8)												
Procolophonia	S268.8												
Thuringothyris_mahlendorffae	(290.1:279.3)												
Concordia_cunninghami	(287:280)												
Rhiodenticulatus_heatoni	(300:295)												
Romeria_texana	(290.1:287)												
Romeria_prima	(294:290.1)												
Reiszorhinus_olsoni	(281:276)												
Protocaptorhinus_pricei	(285:283)												
Saurorictus_australis	(259.8:254.2)	S268.8											
Captorhinus_magnus	(275:274)												
Captorhinus_aguti	(275:274)												
Captorhinus_laticeps	(283:280)	(280:276)											
Captorhinikos_chozaensis	(274:272.3)	(274:272.3)											
Captorhinikos_parvus	(276:272.3)												
Captorhinikos_valensis	(274:273)												
Labidosaurus_hamatus	(275:274)												
Labidosaurikos_meachami	(275:272.3)												
Moradisaurus_grandis	(298.9:252.2)	S268.8											
Rothianiscus_multidonta	(272.3:270)												
Rothianiscus_robusta	(270:267)	S268.8											
Gansurhinus_qingtoushanensis	(272:260)	S268.8											
Brouffia_orientalis	(310:307)												
Paleothyris_acadiana	(310:307)												
Hylonomus_lyelli	(319:317) 												
Cephalerpeton_ventriarmatum	(309.5:308)	(308.5:307)											
Protorothyris_morani	(298:284)												
Protorothyris_archeri	(294:290.1)												
Anthracodromeus_longipes	(308.5:307)												
Petrolacosaurus_kansensis	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)	(305:303.7)					
Araeoscelis_gracilis	(277:274)												
Spinoaequalis_schultzei	(304:301)												
Eosuchia	S268.8												
